File generated on 03-Jul-2017 10:45:04, Level:3, Processing Version: 1.0, Amount of data removed from level 1: 9.3%, Site: Diadema-2016, Instrument: SMPS_TSI, Model:3082," S/N: 3082001629001 - Sizing quantitative, Concentration qualitative", Data processing details can be found in ftp://ftp.lfa.if.usp.br/LFA_Processed_Data/DataProcessing_GoAmazon_LFA.pdf
Time(UTC), UnixTime(UTC),Number concentration (cm-3),Total volume (um3.cm-3), Mean geometric diameter Dpg (nm),,,,
11/22/2016 18:20,1479838800, NaN, NaN, NaN,,,,
11/22/2016 18:25,1479839100, NaN, NaN, NaN,,,,
11/22/2016 18:30,1479839400, NaN, NaN, NaN,,,,
11/22/2016 18:35,1479839700, NaN, NaN, NaN,,,,
11/22/2016 18:40,1479840000, NaN, NaN, NaN,,,,
11/22/2016 18:45,1479840300, NaN, NaN, NaN,,,,
11/22/2016 18:50,1479840600, NaN, NaN, NaN,,,,
11/22/2016 18:55,1479840900, NaN, NaN, NaN,,,,
11/22/2016 19:00,1479841200, NaN, NaN, NaN,,,,
11/22/2016 19:05,1479841500, NaN, NaN, NaN,,,,
11/22/2016 19:10,1479841800, NaN, NaN, NaN,,,,
11/22/2016 19:15,1479842100, NaN, NaN, NaN,,,,
11/22/2016 19:20,1479842400, NaN, NaN, NaN,,,,
11/22/2016 19:25,1479842700, NaN, NaN, NaN,,,,
11/22/2016 19:30,1479843000, NaN, NaN, NaN,,,,
11/22/2016 19:35,1479843300, NaN, NaN, NaN,,,,
11/22/2016 19:40,1479843600, NaN, NaN, NaN,,,,
11/22/2016 19:45,1479843900, NaN, NaN, NaN,,,,
11/22/2016 19:50,1479844200, NaN, NaN, NaN,,,,
11/22/2016 19:55,1479844500, NaN, NaN, NaN,,,,
11/22/2016 20:00,1479844800, NaN, NaN, NaN,,,,
11/22/2016 20:05,1479845100, NaN, NaN, NaN,,,,
11/22/2016 20:10,1479845400, NaN, NaN, NaN,,,,
11/22/2016 20:15,1479845700, NaN, NaN, NaN,,,,
11/22/2016 20:20,1479846000, NaN, NaN, NaN,,,,
11/22/2016 20:25,1479846300, NaN, NaN, NaN,,,,
11/22/2016 20:30,1479846600, NaN, NaN, NaN,,,,
11/22/2016 20:35,1479846900, NaN, NaN, NaN,,,,
11/22/2016 20:40,1479847200, NaN, NaN, NaN,,,,
11/22/2016 20:45,1479847500, NaN, NaN, NaN,,,,
11/22/2016 20:50,1479847800, NaN, NaN, NaN,,,,
11/22/2016 20:55,1479848100, NaN, NaN, NaN,,,,
11/22/2016 21:00,1479848400, NaN, NaN, NaN,,,,
11/22/2016 21:05,1479848700, NaN, NaN, NaN,,,,
11/22/2016 21:10,1479849000, NaN, NaN, NaN,,,,
11/22/2016 21:15,1479849300, NaN, NaN, NaN,,,,
11/22/2016 21:20,1479849600, NaN, NaN, NaN,,,,
11/22/2016 21:25,1479849900, NaN, NaN, NaN,,,,
11/22/2016 21:30,1479850200, NaN, NaN, NaN,,,,
11/22/2016 21:35,1479850500, NaN, NaN, NaN,,,,
11/22/2016 21:40,1479850800, NaN, NaN, NaN,,,,
11/22/2016 21:45,1479851100, NaN, NaN, NaN,,,,
11/22/2016 21:50,1479851400, NaN, NaN, NaN,,,,
11/22/2016 21:55,1479851700, NaN, NaN, NaN,,,,
11/22/2016 22:00,1479852000, NaN, NaN, NaN,,,,
11/22/2016 22:05,1479852300, NaN, NaN, NaN,,,,
11/22/2016 22:10,1479852600, NaN, NaN, NaN,,,,
11/22/2016 22:15,1479852900, NaN, NaN, NaN,,,,
11/22/2016 22:20,1479853200, NaN, NaN, NaN,,,,
11/22/2016 22:25,1479853500, NaN, NaN, NaN,,,,
11/22/2016 22:30,1479853800, NaN, NaN, NaN,,,,
11/22/2016 22:35,1479854100, NaN, NaN, NaN,,,,
11/22/2016 22:40,1479854400, NaN, NaN, NaN,,,,
11/22/2016 22:45,1479854700, NaN, NaN, NaN,,,,
11/22/2016 22:50,1479855000, NaN, NaN, NaN,,,,
11/22/2016 22:55,1479855300, NaN, NaN, NaN,,,,
11/22/2016 23:00,1479855600, NaN, NaN, NaN,,,,
11/22/2016 23:05,1479855900, NaN, NaN, NaN,,,,
11/22/2016 23:10,1479856200, NaN, NaN, NaN,,,,
11/22/2016 23:15,1479856500, NaN, NaN, NaN,,,,
11/22/2016 23:20,1479856800, NaN, NaN, NaN,,,,
11/22/2016 23:25,1479857100, NaN, NaN, NaN,,,,
11/22/2016 23:30,1479857400, NaN, NaN, NaN,,,,
11/22/2016 23:35,1479857700, NaN, NaN, NaN,,,,
11/22/2016 23:40,1479858000, NaN, NaN, NaN,,,,
11/22/2016 23:45,1479858300, NaN, NaN, NaN,,,,
11/22/2016 23:50,1479858600, NaN, NaN, NaN,,,,
11/22/2016 23:55,1479858900, NaN, NaN, NaN,,,,
11/23/2016 0:00,1479859200, NaN, NaN, NaN,,,,
11/23/2016 0:05,1479859500, NaN, NaN, NaN,,,,
11/23/2016 0:10,1479859800, NaN, NaN, NaN,,,,
11/23/2016 0:15,1479860100, NaN, NaN, NaN,,,,
11/23/2016 0:20,1479860400, NaN, NaN, NaN,,,,
11/23/2016 0:25,1479860700, NaN, NaN, NaN,,,,
11/23/2016 0:30,1479861000, NaN, NaN, NaN,,,,
11/23/2016 0:35,1479861300, NaN, NaN, NaN,,,,
11/23/2016 0:40,1479861600, NaN, NaN, NaN,,,,
11/23/2016 0:45,1479861900, NaN, NaN, NaN,,,,
11/23/2016 0:50,1479862200, NaN, NaN, NaN,,,,
11/23/2016 0:55,1479862500, NaN, NaN, NaN,,,,
11/23/2016 1:00,1479862800, NaN, NaN, NaN,,,,
11/23/2016 1:05,1479863100, NaN, NaN, NaN,,,,
11/23/2016 1:10,1479863400, NaN, NaN, NaN,,,,
11/23/2016 1:15,1479863700, NaN, NaN, NaN,,,,
11/23/2016 1:20,1479864000, NaN, NaN, NaN,,,,
11/23/2016 1:25,1479864300, NaN, NaN, NaN,,,,
11/23/2016 1:30,1479864600, NaN, NaN, NaN,,,,
11/23/2016 1:35,1479864900, NaN, NaN, NaN,,,,
11/23/2016 1:40,1479865200, NaN, NaN, NaN,,,,
11/23/2016 1:45,1479865500, NaN, NaN, NaN,,,,
11/23/2016 1:50,1479865800, NaN, NaN, NaN,,,,
11/23/2016 1:55,1479866100, NaN, NaN, NaN,,,,
11/23/2016 2:00,1479866400, NaN, NaN, NaN,,,,
11/23/2016 2:05,1479866700, NaN, NaN, NaN,,,,
11/23/2016 2:10,1479867000, NaN, NaN, NaN,,,,
11/23/2016 2:15,1479867300, NaN, NaN, NaN,,,,
11/23/2016 2:20,1479867600, NaN, NaN, NaN,,,,
11/23/2016 2:25,1479867900, NaN, NaN, NaN,,,,
11/23/2016 2:30,1479868200, NaN, NaN, NaN,,,,
11/23/2016 2:35,1479868500, NaN, NaN, NaN,,,,
11/23/2016 2:40,1479868800, NaN, NaN, NaN,,,,
11/23/2016 2:45,1479869100, NaN, NaN, NaN,,,,
11/23/2016 2:50,1479869400, NaN, NaN, NaN,,,,
11/23/2016 2:55,1479869700, NaN, NaN, NaN,,,,
11/23/2016 3:00,1479870000, NaN, NaN, NaN,,,,
11/23/2016 3:05,1479870300, NaN, NaN, NaN,,,,
11/23/2016 3:10,1479870600, NaN, NaN, NaN,,,,
11/23/2016 3:15,1479870900, NaN, NaN, NaN,,,,
11/23/2016 3:20,1479871200, NaN, NaN, NaN,,,,
11/23/2016 3:25,1479871500, NaN, NaN, NaN,,,,
11/23/2016 3:30,1479871800, NaN, NaN, NaN,,,,
11/23/2016 3:35,1479872100, NaN, NaN, NaN,,,,
11/23/2016 3:40,1479872400, NaN, NaN, NaN,,,,
11/23/2016 3:45,1479872700, NaN, NaN, NaN,,,,
11/23/2016 3:50,1479873000, NaN, NaN, NaN,,,,
11/23/2016 3:55,1479873300, NaN, NaN, NaN,,,,
11/23/2016 4:00,1479873600, NaN, NaN, NaN,,,,
11/23/2016 4:05,1479873900, NaN, NaN, NaN,,,,
11/23/2016 4:10,1479874200, NaN, NaN, NaN,,,,
11/23/2016 4:15,1479874500, NaN, NaN, NaN,,,,
11/23/2016 4:20,1479874800, NaN, NaN, NaN,,,,
11/23/2016 4:25,1479875100, NaN, NaN, NaN,,,,
11/23/2016 4:30,1479875400, NaN, NaN, NaN,,,,
11/23/2016 4:35,1479875700, NaN, NaN, NaN,,,,
11/23/2016 4:40,1479876000, NaN, NaN, NaN,,,,
11/23/2016 4:45,1479876300, NaN, NaN, NaN,,,,
11/23/2016 4:50,1479876600, NaN, NaN, NaN,,,,
11/23/2016 4:55,1479876900, NaN, NaN, NaN,,,,
